id,name,nameall,sex,position,DerzeitigeNGO,Partei
Dieckmann,Dieckmann,Baerbel Dieckmann,2,1,WHH,3
vonBraun,vonBraun,Joachim vonBraun,1,2,WHH,8
Diallo,Diallo,Amadou Diallo,1,3,WHH,8
Geisler,Geisler,Norbert Geisler,1,3,WHH,8
LaniusHeck,LaniusHeck,Rita LaniusHeck,2,3,WHH,8
Schetter,Schetter,ConradJustus Schetter,1,3,WHH,8
SchulzIsenbeck,SchulzIsenbeck,Tobias SchulzIsenbeck,1,3,WHH,8
Wahnbaeck,Wahnbaeck,Till Wahnbaeck,1,5,WHH,8
Mogge,Mogge,Mathias Mogge,1,5,WHH,8
Monning,Monning,Christian Monning,1,5,WHH,8
Adrion,Adrion,Benny Adrion,1,4,WHH,8
Bellut,Bellut,Thomas Bellut,1,4,WHH,8
Bettermann,Bettermann,Erik Bettermann,1,4,WHH,8
Conrad,Conrad,Markus Conrad,1,4,WHH,8
Cukrowski,Cukrowski,Gesine Cukrowski,2,4,WHH,8
Dahrendorf,Dahrendorf,Christiane Dahrendorf,1,4,WHH,8
Detmers,Detmers,Ulrike Detmers,2,4,WHH,8
Griefahn,Griefahn,Monika Griefahn,2,4,WHH,8
Heck,Heck,DieterThomas Heck,1,4,WHH,8
Kuenzer,Kuenzer,,Nia Kuenzer,2,4,WHH,8
Leipold,Leipold,Gerd Leipold,1,4,WHH,8
Oetker,Oetker,CarlFerdinand Oetker,1,4,WHH,8
Pfitzer,Pfitzer,Marc Pfitzer,1,4,WHH,8
PreussH,PreussH,HansJoachim Preuss,1,4,WHH,8
Raue,Raue,Stefan Raue,1,4,WHH,8
Reim,Reim,Dagmar Reim,2,4,WHH,8
Riesenbeck,Riesenbeck,Hajo Riesenbeck,1,4,WHH,8
Schindhelm,Schindhelm,Michael Schindhelm,1,4,WHH,8
Schwan,Schwan,Gesine Schwan,2,4,WHH,8
vonGriesheim,vonGriesheim,Anna vonGriesheim,2,4,WHH,8
vonHoltzbrinck,vonHoltzbrinck,Dieter vonHoltzbrinck,1,4,WHH,8
Zschocke,Zschocke,Christian Zschocke,1,4,WHH,8
Muentefering,Muentefering,Franz Muentefering,1,3,ASB,3
Gleicke,Gleicke,Iris Gleicke,2,3,ASB,3
HammerschmidtR,HammerschmidtR,Rudolf Hammerschmidt,1,3,ASB,8
MuellerW,MuellerW,Wilhelm Mueller,1,3,ASB,8
